seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_26825	343	No terminal repeats	NA	1	11	0.6962	NA	0	0.0000	Unclassified
k127_39599	301	No terminal repeats	NA	1	11	0.6961	NA	0	1.3696	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_17234	448	No terminal repeats	NA	1	11	0.6961	NA	0	0.0000	Unclassified
k127_21109	396	No terminal repeats	NA	1	11	0.6961	NA	0	0.0000	Unclassified
k127_34737	301	No terminal repeats	NA	1	11	0.6961	NA	0	0.0000	Unclassified
k127_3120	249	No terminal repeats	NA	1	11	0.6961	NA	0	0.0000	Unclassified
k127_32525	480	No terminal repeats	NA	1	11	0.6961	NA	0	0.0000	Unclassified
k127_9261	301	No terminal repeats	NA	2	11	0.6961	NA	0	1.6916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_13120	301	No terminal repeats	NA	2	11	0.6961	NA	0	0.0000	Unclassified
k127_22931	300	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_17371	304	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_6443	250	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_25653	301	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_18061	280	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_33888	297	No terminal repeats	NA	1	11	0.6960	NA	0	0.8346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6681	301	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_5004	292	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_41970	292	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_44408	300	No terminal repeats	NA	1	11	0.6960	NA	0	0.0000	Unclassified
k127_6525	1470	No terminal repeats	NA	6	11	0.6959	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_37934	286	No terminal repeats	NA	1	11	0.6959	NA	0	1.6589	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27332	591	No terminal repeats	NA	1	11	0.6959	NA	0	1.4581	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41084	302	No terminal repeats	NA	1	11	0.6959	NA	0	0.0000	Unclassified
k127_19107	300	No terminal repeats	NA	2	11	0.6959	NA	0	0.0000	Unclassified
k127_18772	293	No terminal repeats	NA	1	11	0.6959	NA	0	0.0000	Unclassified
k127_29536	301	No terminal repeats	NA	1	11	0.6959	NA	0	0.0000	Unclassified
k127_5151	301	No terminal repeats	NA	2	11	0.6958	NA	1	1.3942	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_35714	322	No terminal repeats	NA	1	11	0.6958	NA	0	0.0000	Unclassified
k127_39222	300	No terminal repeats	NA	1	11	0.6958	NA	0	0.0000	Unclassified
k127_30968	300	No terminal repeats	NA	1	11	0.6958	NA	0	0.0000	Unclassified
k127_6396	300	No terminal repeats	NA	1	11	0.6958	NA	0	0.0000	Unclassified
k127_14993	280	No terminal repeats	NA	1	11	0.6958	NA	0	0.0000	Unclassified
k127_11275	299	No terminal repeats	NA	1	11	0.6957	NA	0	0.0000	Unclassified
k127_37015	300	No terminal repeats	NA	1	11	0.6957	NA	0	0.0000	Unclassified
k127_32827	300	No terminal repeats	NA	1	11	0.6957	NA	0	0.0000	Unclassified
k127_26629	356	No terminal repeats	NA	2	11	0.6957	NA	0	0.0000	Unclassified
k127_42447	226	No terminal repeats	NA	1	11	0.6956	NA	0	0.0000	Unclassified
k127_335	266	No terminal repeats	NA	1	11	0.6956	NA	0	0.0000	Unclassified
k127_362	300	No terminal repeats	NA	1	11	0.6956	NA	0	0.0000	Unclassified
k127_41669	301	No terminal repeats	NA	1	11	0.6956	NA	0	1.2660	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4167	300	No terminal repeats	NA	1	11	0.6956	NA	0	0.0000	Unclassified
k127_3938	337	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_40815	284	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_26818	301	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_2333	301	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_42822	306	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_17922	301	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_36470	301	No terminal repeats	NA	1	11	0.6955	NA	0	1.6573	Unclassified
k127_14793	317	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_27862	411	No terminal repeats	NA	2	11	0.6955	NA	0	0.0000	Unclassified
k127_24788	300	No terminal repeats	NA	1	11	0.6955	NA	0	0.0000	Unclassified
k127_791	297	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_11170	301	No terminal repeats	NA	1	11	0.6954	NA	0	1.6524	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16812	296	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_28669	292	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_36816	296	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_2820	1902	No terminal repeats	NA	3	11	0.6954	NA	0	0.9625	Unclassified
k127_43607	296	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_9405	298	No terminal repeats	NA	1	11	0.6954	NA	0	0.0000	Unclassified
k127_1133	438	No terminal repeats	NA	3	11	0.6953	NA	0	0.0000	Unclassified
k127_41297	301	No terminal repeats	NA	1	11	0.6953	NA	0	0.0000	Unclassified
k127_3865	301	No terminal repeats	NA	1	11	0.6953	NA	0	0.0000	Unclassified
k127_4638	299	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_3496	294	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_28776	301	No terminal repeats	NA	1	11	0.6952	NA	0	1.2494	Unclassified
k127_27194	301	No terminal repeats	NA	2	11	0.6952	NA	0	1.2784	Unclassified
k127_19733	301	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_917	292	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_18386	240	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_18768	297	No terminal repeats	NA	2	11	0.6952	NA	0	0.0000	Unclassified
k127_39613	301	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_12174	304	No terminal repeats	NA	2	11	0.6952	NA	0	0.0000	Unclassified
k127_20286	299	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_26760	301	No terminal repeats	NA	1	11	0.6952	NA	0	0.0000	Unclassified
k127_42628	296	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_22640	301	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_14373	528	No terminal repeats	NA	1	11	0.6951	NA	1	1.2813	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_19910	277	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_14820	301	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_9992	257	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_15400	301	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_9598	352	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_7577	300	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_11148	300	No terminal repeats	NA	1	11	0.6951	NA	0	0.0000	Unclassified
k127_12366	293	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_29042	301	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_22238	301	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_22138	542	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_30409	289	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_25098	301	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_28314	298	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_8123	300	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_27682	273	No terminal repeats	NA	2	11	0.6950	NA	0	1.1962	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9807	301	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_30539	295	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_12922	299	No terminal repeats	NA	1	11	0.6950	NA	0	0.0000	Unclassified
k127_43125	331	No terminal repeats	NA	1	11	0.6949	NA	0	0.0000	Unclassified
k127_28531	301	No terminal repeats	NA	1	11	0.6949	NA	0	1.2425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_42403	301	No terminal repeats	NA	1	11	0.6949	NA	0	1.7119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15521	318	No terminal repeats	NA	1	11	0.6949	NA	0	0.0000	Unclassified
k127_18778	296	No terminal repeats	NA	1	11	0.6949	NA	0	0.0000	Unclassified
k127_34159	299	No terminal repeats	NA	1	11	0.6948	NA	0	0.0000	Unclassified
k127_16	301	No terminal repeats	NA	1	11	0.6948	NA	0	0.0000	Unclassified
k127_34064	301	No terminal repeats	NA	1	11	0.6948	NA	0	0.0000	Unclassified
k127_16591	301	No terminal repeats	NA	1	11	0.6948	NA	0	0.0000	Unclassified
k127_19228	301	No terminal repeats	NA	1	11	0.6948	NA	0	0.0000	Unclassified
k127_43606	300	No terminal repeats	NA	1	11	0.6947	NA	0	0.0000	Unclassified
k127_31543	301	No terminal repeats	NA	1	11	0.6947	NA	0	0.0000	Unclassified
k127_41889	297	No terminal repeats	NA	2	11	0.6946	NA	0	1.2950	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9803	285	No terminal repeats	NA	2	11	0.6946	NA	0	0.0000	Unclassified
k127_8252	263	No terminal repeats	NA	1	11	0.6946	NA	0	0.0000	Unclassified
k127_4754	299	No terminal repeats	NA	2	11	0.6946	NA	0	0.0000	Unclassified
k127_21272	301	No terminal repeats	NA	1	11	0.6946	NA	0	0.0000	Unclassified
k127_27118	300	No terminal repeats	NA	1	11	0.6946	NA	0	0.0000	Unclassified
k127_8372	275	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_19345	301	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_27675	301	No terminal repeats	NA	1	11	0.6945	NA	0	1.2110	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44787	301	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_34890	300	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_27093	300	No terminal repeats	NA	1	11	0.6945	NA	0	1.7153	Unclassified
k127_23564	292	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_11183	470	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_7682	301	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_20610	300	No terminal repeats	NA	1	11	0.6945	NA	0	0.0000	Unclassified
k127_8406	413	No terminal repeats	NA	1	11	0.6944	NA	0	0.0000	Unclassified
k127_37924	301	No terminal repeats	NA	1	11	0.6944	NA	0	0.0000	Unclassified
k127_17331	491	No terminal repeats	NA	1	11	0.6944	NA	0	0.0000	Unclassified
k127_42107	300	No terminal repeats	NA	1	11	0.6944	NA	0	0.0000	Unclassified
k127_28237	299	No terminal repeats	NA	2	11	0.6944	NA	0	0.0000	Unclassified
k127_40897	297	No terminal repeats	NA	1	11	0.6944	NA	0	0.0000	Unclassified
k127_21609	301	No terminal repeats	NA	1	11	0.6943	NA	0	0.0000	Unclassified
k127_40130	254	No terminal repeats	NA	1	4	0.6943	NA	0	0.0000	Unclassified
k127_2353	301	No terminal repeats	NA	1	11	0.6943	NA	0	0.0000	Unclassified
k127_18411	300	No terminal repeats	NA	1	11	0.6943	NA	0	0.0000	Unclassified
k127_3659	298	No terminal repeats	NA	1	11	0.6943	NA	0	0.0000	Unclassified
k127_23869	691	No terminal repeats	NA	3	11	0.6943	NA	0	1.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_29132	505	No terminal repeats	NA	3	11	0.6942	NA	1	1.2342	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_18995	292	No terminal repeats	NA	1	11	0.6942	NA	0	0.0000	Unclassified
k127_2116	277	No terminal repeats	NA	1	11	0.6942	NA	0	0.0000	Unclassified
k127_930	301	No terminal repeats	NA	1	11	0.6942	NA	0	0.0000	Unclassified
k127_20579	301	No terminal repeats	NA	1	11	0.6942	NA	0	0.0000	Unclassified
k127_29586	299	No terminal repeats	NA	2	11	0.6942	NA	0	0.0000	Unclassified
k127_32854	295	No terminal repeats	NA	2	11	0.6942	NA	0	1.7027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15954	339	No terminal repeats	NA	1	11	0.6942	NA	0	0.0000	Unclassified
k127_12038	527	No terminal repeats	NA	4	11	0.6942	NA	0	0.0000	Unclassified
k127_6052	300	No terminal repeats	NA	2	11	0.6941	NA	0	0.0000	Unclassified
k127_3638	301	No terminal repeats	NA	1	11	0.6941	NA	0	1.1549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_28926	300	No terminal repeats	NA	1	11	0.6941	NA	0	0.0000	Unclassified
k127_14976	301	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_26710	400	No terminal repeats	NA	2	11	0.6940	NA	0	0.0000	Unclassified
k127_32883	634	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_7757	299	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_25188	301	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_17759	306	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_6464	301	No terminal repeats	NA	1	11	0.6940	NA	0	0.0000	Unclassified
k127_4094	474	No terminal repeats	NA	1	11	0.6939	NA	0	0.0000	Unclassified
k127_19859	244	No terminal repeats	NA	1	11	0.6939	NA	0	0.0000	Unclassified
k127_23841	229	No terminal repeats	NA	1	11	0.6939	NA	0	0.0000	Unclassified
k127_16478	301	No terminal repeats	NA	1	11	0.6939	NA	0	0.0000	Unclassified
k127_18901	398	No terminal repeats	NA	1	11	0.6939	NA	0	0.0000	Unclassified
k127_9952	301	No terminal repeats	NA	1	11	0.6938	NA	0	0.0000	Unclassified
k127_39674	300	No terminal repeats	NA	2	11	0.6938	NA	0	0.0000	Unclassified
k127_10102	262	No terminal repeats	NA	1	11	0.6938	NA	0	0.0000	Unclassified
k127_6195	298	No terminal repeats	NA	1	11	0.6938	NA	0	0.0000	Unclassified
k127_34447	450	No terminal repeats	NA	1	11	0.6938	NA	0	1.5694	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_30943	301	No terminal repeats	NA	1	11	0.6938	NA	0	1.3996	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8075	301	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_7776	301	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_25075	301	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_41608	298	No terminal repeats	NA	2	11	0.6937	NA	0	0.0000	Unclassified
k127_26543	301	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_12170	300	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_34693	301	No terminal repeats	NA	1	11	0.6937	NA	0	1.1600	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15933	260	No terminal repeats	NA	1	11	0.6937	NA	0	0.0000	Unclassified
k127_33243	300	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_15499	301	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_7320	437	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_41151	265	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_12331	300	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_37274	301	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_36298	301	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_29647	300	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_38648	296	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_5016	293	No terminal repeats	NA	1	11	0.6936	NA	0	0.0000	Unclassified
k127_14964	300	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_5770	288	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_2865	704	No terminal repeats	NA	2	11	0.6935	NA	0	0.0000	Unclassified
k127_12859	368	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_42919	301	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_41371	433	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_17809	299	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_18249	447	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_19048	297	No terminal repeats	NA	2	11	0.6935	NA	0	1.6936	Unclassified
k127_30827	528	No terminal repeats	NA	1	11	0.6935	NA	0	0.0000	Unclassified
k127_28268	301	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_24928	298	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_27494	293	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_29756	300	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_41939	227	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_14183	301	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_4366	282	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_38418	309	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_54	334	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_9629	478	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_26672	301	No terminal repeats	NA	1	11	0.6934	NA	0	0.0000	Unclassified
k127_8476	301	No terminal repeats	NA	1	15	0.6933	NA	0	0.0000	Unclassified
k127_31190	301	No terminal repeats	NA	1	11	0.6933	NA	0	0.0000	Unclassified
k127_27833	326	No terminal repeats	NA	1	11	0.6933	NA	0	0.0000	Unclassified
k127_19062	300	No terminal repeats	NA	1	11	0.6933	NA	0	0.0000	Unclassified
k127_17233	301	No terminal repeats	NA	1	11	0.6933	NA	0	0.0000	Unclassified
k127_25488	301	No terminal repeats	NA	1	11	0.6933	NA	0	0.0000	Unclassified
k127_30570	333	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_24896	400	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_14384	301	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_40253	375	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_25210	268	No terminal repeats	NA	2	11	0.6932	NA	0	0.0000	Unclassified
k127_11729	301	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_27857	300	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_33687	301	No terminal repeats	NA	2	11	0.6932	NA	0	0.0000	Unclassified
k127_20312	283	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_4996	287	No terminal repeats	NA	1	11	0.6932	NA	0	0.0000	Unclassified
k127_9109	382	No terminal repeats	NA	1	11	0.6931	NA	0	0.0000	Unclassified
k127_24693	317	No terminal repeats	NA	1	11	0.6931	NA	0	0.0000	Unclassified
k127_18815	299	No terminal repeats	NA	1	11	0.6931	NA	0	0.0000	Unclassified
k127_31336	421	No terminal repeats	NA	1	11	0.6931	NA	0	0.0000	Unclassified
k127_39590	290	No terminal repeats	NA	1	11	0.6931	NA	0	0.0000	Unclassified
k127_26154	349	No terminal repeats	NA	2	11	0.6930	NA	0	0.0000	Unclassified
k127_29497	293	No terminal repeats	NA	1	11	0.6930	NA	0	1.6977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_17998	301	No terminal repeats	NA	1	11	0.6930	NA	0	0.0000	Unclassified
k127_10984	301	No terminal repeats	NA	1	11	0.6930	NA	0	0.0000	Unclassified
k127_25290	300	No terminal repeats	NA	1	11	0.6930	NA	0	0.0000	Unclassified
k127_12646	301	No terminal repeats	NA	1	11	0.6930	NA	0	0.0000	Unclassified
k127_2553	301	No terminal repeats	NA	1	11	0.6929	NA	0	0.0000	Unclassified
k127_32843	300	No terminal repeats	NA	1	11	0.6929	NA	0	0.0000	Unclassified
k127_7590	762	No terminal repeats	NA	3	11	0.6929	NA	0	0.0000	Unclassified
k127_33918	301	No terminal repeats	NA	1	11	0.6928	NA	0	0.0000	Unclassified
k127_7935	288	No terminal repeats	NA	2	11	0.6928	NA	0	0.0000	Unclassified
k127_37506	294	No terminal repeats	NA	1	11	0.6928	NA	0	0.0000	Unclassified
k127_42029	301	No terminal repeats	NA	1	11	0.6928	NA	0	0.0000	Unclassified
k127_23989	301	No terminal repeats	NA	1	11	0.6928	NA	0	0.0000	Unclassified
k127_31179	467	No terminal repeats	NA	2	11	0.6928	NA	1	0.9483	Unclassified
k127_4239	301	No terminal repeats	NA	1	11	0.6928	NA	0	1.2259	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_28929	301	No terminal repeats	NA	1	11	0.6928	NA	0	0.0000	Unclassified
k127_23958	297	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_11172	301	No terminal repeats	NA	2	11	0.6927	NA	0	0.0000	Unclassified
k127_25100	301	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_14988	1179	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_20790	300	No terminal repeats	NA	1	11	0.6927	NA	1	1.4357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8120	295	No terminal repeats	NA	2	11	0.6927	NA	0	0.0000	Unclassified
k127_40284	423	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_19822	296	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_44333	315	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_37281	301	No terminal repeats	NA	1	11	0.6927	NA	0	0.0000	Unclassified
k127_10067	290	No terminal repeats	NA	1	11	0.6926	NA	0	0.0000	Unclassified
k127_21979	467	No terminal repeats	NA	2	11	0.6926	NA	0	0.0000	Unclassified
k127_41481	301	No terminal repeats	NA	1	11	0.6926	NA	0	0.0000	Unclassified
k127_33395	293	No terminal repeats	NA	1	11	0.6926	NA	0	0.0000	Unclassified
k127_22080	300	No terminal repeats	NA	1	11	0.6925	NA	0	0.0000	Unclassified
k127_23669	245	No terminal repeats	NA	2	11	0.6925	NA	0	0.0000	Unclassified
k127_653	279	No terminal repeats	NA	1	11	0.6925	NA	0	0.0000	Unclassified
k127_116	300	No terminal repeats	NA	1	11	0.6925	NA	0	0.0000	Unclassified
k127_23570	521	No terminal repeats	NA	3	11	0.6925	NA	0	0.0000	Unclassified
k127_30972	372	No terminal repeats	NA	2	11	0.6925	NA	0	1.5012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27896	300	No terminal repeats	NA	1	11	0.6925	NA	0	0.0000	Unclassified
k127_41478	301	No terminal repeats	NA	1	11	0.6924	NA	0	0.0000	Unclassified
k127_27667	289	No terminal repeats	NA	1	11	0.6924	NA	0	0.0000	Unclassified
k127_34517	300	No terminal repeats	NA	1	11	0.6924	NA	0	0.0000	Unclassified
k127_10792	301	No terminal repeats	NA	1	11	0.6924	NA	0	0.0000	Unclassified
k127_33930	275	No terminal repeats	NA	2	11	0.6924	NA	0	0.0000	Unclassified
k127_21488	523	No terminal repeats	NA	1	11	0.6924	NA	1	1.1438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8411	265	No terminal repeats	NA	1	11	0.6923	NA	0	0.0000	Unclassified
k127_41455	410	No terminal repeats	NA	1	11	0.6923	NA	0	0.0000	Unclassified
k127_17907	300	No terminal repeats	NA	1	11	0.6923	NA	0	0.0000	Unclassified
k127_37122	300	No terminal repeats	NA	1	11	0.6923	NA	0	1.3595	Unclassified
k127_5995	496	No terminal repeats	NA	1	11	0.6922	NA	0	1.1678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_38628	407	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_41387	232	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_11678	301	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_20980	301	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_30372	300	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_969	300	No terminal repeats	NA	1	11	0.6922	NA	0	0.0000	Unclassified
k127_41760	300	No terminal repeats	NA	1	11	0.6922	NA	1	1.5665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43874	268	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_12870	468	No terminal repeats	NA	1	11	0.6921	NA	1	1.1579	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27418	300	No terminal repeats	NA	2	11	0.6921	NA	0	0.0000	Unclassified
k127_11741	365	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_414	301	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_12036	300	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_1345	298	No terminal repeats	NA	1	11	0.6921	NA	1	1.4007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41773	285	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_29539	297	No terminal repeats	NA	1	11	0.6921	NA	0	0.0000	Unclassified
k127_25189	421	No terminal repeats	NA	1	11	0.6920	NA	0	0.0000	Unclassified
k127_38155	293	No terminal repeats	NA	1	11	0.6920	NA	0	0.0000	Unclassified
